Commit hash,Changed targets
80fe41fd0173c3eaa56f4abb783031966ea89cef,com.google.javascript.jscomp.AmbiguateProperties; com.google.javascript.jscomp.AnalyzePrototypeProperties; com.google.javascript.jscomp.CheckSideEffects; com.google.javascript.jscomp.CrossModuleMethodMotion; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.PureFunctionIdentifier; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.deps.JsFileLineParser
de13c3313c05f4449c50c560324389d6905a214d,com.google.javascript.jscomp.CodeGenerator; com.google.javascript.jscomp.CodePrinter; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.ReplaceCssNames; com.google.javascript.jscomp.TypedCodeGenerator; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.rhino.Node; com.google.javascript.rhino.jstype.JSTypeRegistry
43859717972907dd1ecebd8dca6e05036386e28b,com.google.javascript.jscomp.AliasExternals; com.google.javascript.jscomp.CodeGenerator; com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.DevirtualizePrototypeMethods; com.google.javascript.jscomp.FoldConstants; com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.jscomp.GatherSideEffectSubexpressionsCallback; com.google.javascript.jscomp.MinimizeExitPoints; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.RemoveConstantExpressions; com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.jscomp.parsing.IRFactory; com.google.javascript.rhino.Node; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.JSTypeRegistry
e3bcc1c6e7ce7e9bfc3098cd5bf57774049f5baa,com.google.javascript.jscomp.CheckRegExp; com.google.javascript.jscomp.CoalesceVariableNames; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CrossModuleCodeMotion; com.google.javascript.jscomp.CrossModuleMethodMotion; com.google.javascript.jscomp.DeadAssignmentsElimination; com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations; com.google.javascript.jscomp.FunctionTypeBuilder; com.google.javascript.rhino.jstype.ErrorFunctionType; com.google.javascript.rhino.jstype.FunctionBuilder; com.google.javascript.rhino.jstype.FunctionType; com.google.javascript.rhino.jstype.JSTypeRegistry; com.google.javascript.rhino.jstype.NoObjectType
ebb59a97610015bc41bda7f458dd1428a3a3e335,com.google.javascript.jscomp.CheckRequiresForConstructors; com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.DefaultCodingConvention; com.google.javascript.jscomp.DefinitionsRemover; com.google.javascript.jscomp.FunctionNames; com.google.javascript.jscomp.FunctionRewriter; com.google.javascript.jscomp.GlobalNamespace; com.google.javascript.jscomp.InlineFunctions; com.google.javascript.jscomp.InlineVariables; com.google.javascript.jscomp.NameAnalyzer; com.google.javascript.jscomp.NameReferenceGraphConstruction; com.google.javascript.jscomp.NodeTraversal; com.google.javascript.jscomp.NodeUtil; com.google.javascript.jscomp.Normalize; com.google.javascript.jscomp.ProcessClosurePrimitives; com.google.javascript.jscomp.ReferenceCollectingCallback; com.google.javascript.jscomp.RemoveUnusedVars; com.google.javascript.jscomp.RenameVars; com.google.javascript.jscomp.SuspiciousPropertiesCheck; com.google.javascript.jscomp.SyntacticScopeCreator; com.google.javascript.jscomp.TypeInference; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.jscomp.VarCheck
72988fec494186d46dff8b78de682fd1c5c191e7,com.google.javascript.jscomp.AliasExternals
eb5eae4438f49ffddd3c8be1413eeb9e7ecfb311,com.google.javascript.jscomp.CodingConvention; com.google.javascript.jscomp.DefaultCodingConvention; com.google.javascript.jscomp.RemoveUnusedVars; com.google.javascript.jscomp.TypedScopeCreator; com.google.javascript.jscomp.deps.SortedDependencies; com.google.javascript.jscomp.parsing.IRFactory; com.google.javascript.rhino.JSTypeExpression; com.google.javascript.rhino.jstype.JSType; com.google.javascript.rhino.jstype.JSTypeRegistry; com.google.javascript.rhino.jstype.NamedType; com.google.javascript.rhino.jstype.UnionType; com.google.javascript.rhino.jstype.UnresolvedTypeExpression
9147da9979fb00599efd700fa5e0cccfa93d25a5,com.google.javascript.jscomp.AbstractCommandLineRunner; com.google.javascript.jscomp.CommandLineRunner; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.FlowSensitiveInlineVariables; com.google.javascript.jscomp.MustBeReachingVariableDef; com.google.javascript.jscomp.PotentialCheck; com.google.javascript.jscomp.PotentialCheckManager; com.google.javascript.jscomp.TypeCheck
55d1c8181d46a0b5e5a121db314145be37a10934,com.google.javascript.jscomp.RenameVars
5885b9b72a64533fb2bd6f05d66c65b58c7d3b45,com.google.javascript.jscomp.CheckUnreachableCode; com.google.javascript.jscomp.CompilationLevel; com.google.javascript.jscomp.CompilerOptions; com.google.javascript.jscomp.DefaultPassConfig; com.google.javascript.jscomp.ExtractPrototypeMemberDeclarations; com.google.javascript.jscomp.PassConfig; com.google.javascript.jscomp.SourceFile; com.google.javascript.jscomp.deps.DepsFileParser; com.google.javascript.jscomp.deps.JsFileLineParser; com.google.javascript.jscomp.deps.JsFileParser; com.google.javascript.jscomp.graph.GraphReachability
