Target,Commit count
com.google.javascript.rhino.jstype.UnknownType,6
com.google.javascript.jscomp.GenerateExports,6
com.google.javascript.jscomp.FunctionInformationMap,6
com.google.javascript.jscomp.DeadAssignmentsElimination,6
com.google.javascript.jscomp.OptimizeReturns,6
com.google.javascript.jscomp.PeepholeCollectPropertyAssignments,6
com.google.javascript.jscomp.AliasStrings,6
com.google.javascript.jscomp.CodingConventions,6
com.google.javascript.jscomp.Var,6
com.google.javascript.refactoring.FixingErrorManager,6
com.google.javascript.jscomp.lint.CheckRequiresAndProvidesSorted,6
com.google.javascript.jscomp.ConvertToTypedInterface,6
com.google.javascript.jscomp.gwt.client.GwtRunner,6
com.google.javascript.jscomp.ChromePass,6
com.google.javascript.jscomp.LateEs6ToEs3Converter,6
com.google.javascript.jscomp.ijs.ConvertToTypedInterface,6
com.google.javascript.jscomp.ijs.PotentialDeclaration,6
com.google.javascript.jscomp.gwt.client.JsfileParser,6
com.google.javascript.jscomp.GatherModuleMetadata,6
com.google.javascript.jscomp.CheckClosureImports,6
com.google.javascript.jscomp.MarkUntranspilableFeaturesAsRemoved,6
com.google.javascript.jscomp.ProcessClosureProvidesAndRequires,6
com.google.javascript.jscomp.IsolatePolyfills,6
com.google.javascript.jscomp.RewriteNullishCoalesceOperator,6
com.google.javascript.jscomp.serialization.TypedAstSerializer,6
com.google.javascript.jscomp.WarningLevel,5
com.google.javascript.jscomp.ConcreteType,5
com.google.javascript.rhino.jstype.EnumType,5
com.google.javascript.jscomp.TypeInferencePass,5
com.google.javascript.jscomp.CheckUnreachableCode,5
com.google.javascript.jscomp.PeepholeOptimizationsPass,5
com.google.javascript.jscomp.AliasKeywords,5
com.google.javascript.jscomp.PrepareAst,5
com.google.javascript.jscomp.AbstractPeepholeOptimization,5
com.google.javascript.jscomp.OptimizeCalls,5
com.google.javascript.rhino.TokenStream,5
com.google.javascript.jscomp.ShadowVariables,5
com.google.javascript.jscomp.UseSite,5
com.google.javascript.jscomp.RenameLabels,5
com.google.javascript.jscomp.SuppressDocWarningsGuard,5
org.mozilla.javascript.Parser,5
com.google.debugging.sourcemap.SourceMapGeneratorV3,5
com.google.javascript.jscomp.ReplaceIdGenerators,5
com.google.javascript.jscomp.fuzzing.Driver,5
com.google.javascript.jscomp.lint.CheckNullableReturn,5
com.google.javascript.refactoring.Matchers,5
com.google.javascript.jscomp.StatementFusion,5
com.google.javascript.jscomp.ConvertToDottedProperties,5
com.google.javascript.rhino.jstype.TemplateTypeMapReplacer,5
com.google.javascript.jscomp.RewritePolyfills,5
com.google.javascript.jscomp.PolymerPassStaticUtils,5
com.google.javascript.jscomp.J2clClinitPrunerPass,5
com.google.javascript.jscomp.J2clPass,5
com.google.javascript.jscomp.InvalidatingTypes,5
com.google.javascript.jscomp.FindModuleDependencies,5
com.google.javascript.jscomp.Es6RewriteRestAndSpread,5
com.google.javascript.jscomp.RewriteAsyncIteration,5
com.google.javascript.rhino.jstype.FunctionPrototypeType,4
com.google.javascript.jscomp.ReplaceCssNames,4
com.google.javascript.jscomp.graph.LinkedDirectedGraph,4
com.google.javascript.jscomp.NameReferenceGraphConstruction,4
com.google.javascript.jscomp.CheckRegExp,4
com.google.javascript.jscomp.deps.JsFileLineParser,4
com.google.javascript.rhino.jstype.FunctionBuilder,4
com.google.javascript.jscomp.PeepholeFoldWithTypes,4
com.google.javascript.jscomp.InlineCostEstimator,4
com.google.javascript.jscomp.PerformanceTracker,4
com.google.javascript.jscomp.ClosureCodeRemoval,4
com.google.javascript.jscomp.CreateSyntheticBlocks,4
com.google.javascript.rhino.jstype.JSTypeNative,4
com.google.javascript.rhino.jstype.NoType,4
com.google.javascript.jscomp.ProcessTweaks,4
com.google.javascript.rhino.jstype.NoResolvedType,4
com.google.javascript.rhino.jstype.TemplateType,4
com.google.javascript.rhino.jstype.VoidType,4
com.google.javascript.jscomp.JsMessage,4
com.google.javascript.jscomp.deps.DepsGenerator,4
com.google.javascript.jscomp.parsing.JsDocTokenStream,4
com.google.javascript.rhino.jstype.FunctionParamBuilder,4
