McLocalizer commit hash,Manual bug scope,McLocalizer bug scope,Bug scope precision,Bug scope recall
ce3d3a25ce64d15e967cdc9e191072071872e8c7,com.google.javascript.jscomp.Es6RewriteClass; com.google.javascript.rhino.Node,com.google.javascript.jscomp.Es6RewriteClass; com.google.javascript.rhino.Node,1.0,1.0
5fde503a0846406893ebdfdc04388875ea423d81,com.google.javascript.jscomp.NodeIterators,com.google.javascript.jscomp.NodeIterators,1.0,1.0
e6f55d83739cc394b2a3561ba2f24ff86d3e9c42,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser,com.google.javascript.jscomp.parsing.ParserRunner; com.google.javascript.jscomp.parsing.parser.FeatureSet; com.google.javascript.jscomp.parsing.parser.Parser,1.0,1.0
b7d811963623aa80cb67ac1f84fa53c545f86816,com.google.javascript.jscomp.ant.CompileTask,com.google.javascript.jscomp.ant.CompileTask,1.0,1.0
929ba03a950b1dfcd60762f954e4833f433cc1d4,com.google.javascript.jscomp.Es6RewriteBlockScopedDeclaration,com.google.javascript.jscomp.Es6RewriteBlockScopedDeclaration,1.0,1.0
957940e4bcab1f82627d1aebb0b65f56cc89b786,com.google.javascript.jscomp.AmbiguateProperties; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DisambiguateProperties; com.google.javascript.jscomp.InlineSimpleMethods; com.google.javascript.jscomp.RemoveUnusedPrototypeProperties; com.google.javascript.jscomp.SymbolTable; com.google.javascript.jscomp.deps.DepsFileParser; com.google.javascript.jscomp.deps.DepsGenerator; com.google.javascript.jscomp.deps.JsFileParser,com.google.javascript.jscomp.AmbiguateProperties; com.google.javascript.jscomp.Compiler; com.google.javascript.jscomp.DisambiguateProperties; com.google.javascript.jscomp.InlineSimpleMethods; com.google.javascript.jscomp.RemoveUnusedPrototypeProperties; com.google.javascript.jscomp.SymbolTable; com.google.javascript.jscomp.deps.DepsFileParser; com.google.javascript.jscomp.deps.DepsGenerator; com.google.javascript.jscomp.deps.JsFileParser,1.0,1.0
70a49d6f1ca0ffc1e4e6049227585648239b04f9,com.google.javascript.jscomp.deps.JsFileParser,com.google.javascript.jscomp.deps.JsFileParser,1.0,1.0
16f7df6d709bab93c3beedf6e27dd5c4dd10fe21,com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.GlobalNamespace; com.google.javascript.jscomp.InlineObjectLiterals; com.google.javascript.jscomp.NameAnalyzer; com.google.javascript.jscomp.NodeUtil,com.google.javascript.jscomp.CollapseProperties; com.google.javascript.jscomp.GlobalNamespace; com.google.javascript.jscomp.InlineObjectLiterals; com.google.javascript.jscomp.NameAnalyzer; com.google.javascript.jscomp.NodeUtil,1.0,1.0
88d1ed503c0cf73774ea7f225083db7c0e242cce,com.google.javascript.jscomp.parsing.parser.Parser,com.google.javascript.jscomp.parsing.parser.Parser,1.0,1.0
c90c078fa6cd7cf35dc6610d436d846ddc4b40c3,com.google.javascript.jscomp.ConformanceRules,com.google.javascript.jscomp.ConformanceRules,1.0,1.0
