McLocalizer fixing commit,Fixing commit,Pure fixing commit,Java class bug scope,Bug tracker,Notes
88d1ed503c0cf73774ea7f225083db7c0e242cce,1,1,com.google.javascript.jscomp.parsing.parser.Parser,,
c90c078fa6cd7cf35dc6610d436d846ddc4b40c3,1,1,com.google.javascript.jscomp.ConformanceRules,,
37a4ffcd30f42564590033da200fe68f58b3efa2,1,1,com.google.javascript.jscomp.ExpressionDecomposer; com.google.javascript.jscomp.FunctionInjector; com.google.javascript.jscomp.InlineFunctions,,
ac19407b70d7af38d568d29af96bc51f0a877b99,0,0,,,Feature
45fd54a488cfbf27978fc4811a722f1fedb8ddaa,1,0,,,Fix+Other
f39bbdd39c9ec2136f0a58a677bd2fdae77075a2,1,1,com.google.javascript.jscomp.CollapseProperties,389,
2d7219440693cb3ed5d7bd07c6c17c4cebf228f0,1,1,com.google.javascript.jscomp.CommandLineRunner,,
55e3c557a2d9aae7cffefdad42140911130c8551,1,0,,,Fix+Other
4b01b7892b98d31b16e498e717f7c6cefc9a3bd7,1,1,com.google.javascript.jscomp.GlobalNamespace,https://github.com/google/closure-compiler/issues/3671,
3395eb68a19a8492196df62fb9e38c814de80f08,1,1,com.google.javascript.jscomp.Scope; com.google.javascript.jscomp.ScopedAliases,548,
7aca9cf8f9faf78cb906ae6c877f920092b50f2c,1,1,com.google.javascript.jscomp.LinkedFlowScope,,
2d5995b559fed67fb6f9a45ca9274540de0a04e2,1,0,,,Rollforward
5f66d4911e6cf94b2787e41e66918540608d3183,1,1,com.google.javascript.jscomp.Compiler,,
6f8abaabc7cba66818a6e6533ef98d4884b9ff95,1,1,com.google.javascript.jscomp.transpile.BaseTranspiler,,
8ee28576c9729aa0c15b1ae469a2b811702388c3,1,0,,,
2f81505f11410bec924c1b3aaec3bae5a2aaad71,1,1,com.google.javascript.jscomp.DefaultPassConfig,,
97aab3558cf1ddafd9c97033cb4dc4f54f6e2fb5,1,1,com.google.javascript.jscomp.AstAnalyzer,,
9b0a0602ac52f69f42120d9856ce8b80364f2378,1,1,com.google.javascript.jscomp.CommandLineRunner,,
ae3d787e6dc49b2930adbdd0026d1535ff250415,1,1,com.google.javascript.jscomp.GlobalTypeInfo; com.google.javascript.jscomp.NodeUtil,,
0fb76a81bbdd8ab84a00b8be2099abfb83c88668,1,1,com.google.javascript.jscomp.ProcessClosurePrimitives,,
